"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","my.fabnum.fr/83.202.102.130","443","INFO","HTTP","",""
"pre_128cipher","my.fabnum.fr/83.202.102.130","443","INFO","No 128 cipher limit bug","",""
"SSLv2","my.fabnum.fr/83.202.102.130","443","OK","not offered","",""
"SSLv3","my.fabnum.fr/83.202.102.130","443","OK","not offered","",""
"TLS1","my.fabnum.fr/83.202.102.130","443","INFO","not offered","",""
"TLS1_1","my.fabnum.fr/83.202.102.130","443","INFO","not offered","",""
"TLS1_2","my.fabnum.fr/83.202.102.130","443","OK","offered","",""
"TLS1_3","my.fabnum.fr/83.202.102.130","443","OK","offered with final","",""
"ALPN_HTTP2","my.fabnum.fr/83.202.102.130","443","OK","h2","",""
"ALPN","my.fabnum.fr/83.202.102.130","443","INFO","http/1.1","",""
"cipherlist_NULL","my.fabnum.fr/83.202.102.130","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","my.fabnum.fr/83.202.102.130","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","my.fabnum.fr/83.202.102.130","443","OK","not offered","","CWE-327"
"cipherlist_LOW","my.fabnum.fr/83.202.102.130","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","my.fabnum.fr/83.202.102.130","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","my.fabnum.fr/83.202.102.130","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","my.fabnum.fr/83.202.102.130","443","INFO","not offered","",""
"cipherlist_STRONG","my.fabnum.fr/83.202.102.130","443","OK","offered","",""
"cipher-tls1_2_xc030","my.fabnum.fr/83.202.102.130","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","my.fabnum.fr/83.202.102.130","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","my.fabnum.fr/83.202.102.130","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc027","my.fabnum.fr/83.202.102.130","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 521   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x9e","my.fabnum.fr/83.202.102.130","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","my.fabnum.fr/83.202.102.130","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","my.fabnum.fr/83.202.102.130","443","HIGH","NOT a cipher order configured","",""
"protocol_negotiated","my.fabnum.fr/83.202.102.130","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","my.fabnum.fr/83.202.102.130","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)  (limited sense as client will pick)","",""
"FS","my.fabnum.fr/83.202.102.130","443","OK","offered","",""
"FS_ciphers","my.fabnum.fr/83.202.102.130","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","my.fabnum.fr/83.202.102.130","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","my.fabnum.fr/83.202.102.130","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","my.fabnum.fr/83.202.102.130","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","my.fabnum.fr/83.202.102.130","443","INFO","yes","",""
"sessionresumption_ticket","my.fabnum.fr/83.202.102.130","443","INFO","not supported","",""
"sessionresumption_ID","my.fabnum.fr/83.202.102.130","443","INFO","supported","",""
"TLS_timestamp","my.fabnum.fr/83.202.102.130","443","INFO","random","",""
"certificate_compression","my.fabnum.fr/83.202.102.130","443","INFO","none","",""
"clientAuth","my.fabnum.fr/83.202.102.130","443","INFO","none","",""
"cert_numbers","my.fabnum.fr/83.202.102.130","443","INFO","1","",""
"cert_signatureAlgorithm","my.fabnum.fr/83.202.102.130","443","OK","SHA256 with RSA","",""
"cert_keySize","my.fabnum.fr/83.202.102.130","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","my.fabnum.fr/83.202.102.130","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","my.fabnum.fr/83.202.102.130","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","my.fabnum.fr/83.202.102.130","443","INFO","03E072EB4830540C401C42EDAE998C5B15D4","",""
"cert_serialNumberLen","my.fabnum.fr/83.202.102.130","443","INFO","18","",""
"cert_fingerprintSHA1","my.fabnum.fr/83.202.102.130","443","INFO","3D5CE8A533F9B790562E63920989E8AD1D785C51","",""
"cert_fingerprintSHA256","my.fabnum.fr/83.202.102.130","443","INFO","A9B9D8A36B27030F14CD51C47D476B45E03D71E621C6106B65A19FF81E2AFBC6","",""
"cert","my.fabnum.fr/83.202.102.130","443","INFO","-----BEGIN CERTIFICATE----- MIIGHzCCBQegAwIBAgISA+By60gwVAxAHELtrpmMWxXUMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMjA0MDUxMTAwNDBaFw0yMjA3MDQxMTAwMzlaMBcxFTATBgNVBAMT DG15LmZhYm51bS5mcjCCAiIwDQYJKoZIhvcNAQEBBQADggIPADCCAgoCggIBALLW QjbnB7+0cXWBwclrM5rrZv39WjtlzXT0feOdWIkV45W8SkYBvaqjlu3DMl1zISnh AHHu5CDFfftw4UbPlrwWPUugYWKFNKI1eRDe1RRbi/MSd+ZUtQeMBychAXbAnM34 g+CFdZnaipCCxiNlki5hJrulnD9ycHZElSluL0qcW1qNps4yhjRHAqdsMuYRydze 4uAFjcU4hbUpN1ardKMuhTegLI18itByHHVVtGEmR7RtinF8U8s8cUkXI0YLsraA O95aPgCtpEfyG1Pb4UMXfcNm1tYiON5F4+seI3O3wllkKSZ9Hyi3MCH2BKQCqJ+B cS9qHbKppHWY1cYtu63EPpnPHuvB5cGGaVWWieG4ljahtu4uGti4Q9za0/iqiYBb SijLNH5KP7guuq7R7JxQB9+yzvGSy+fZBrWagsUIuP7wAcDtjCIq4vZAgG2YeI16 NF0gD5Zurg4y/+zgh8YmxgKwGZn/bhti3HyORJ3GyGi0nhlowiO4dmxtA3piAY4Y WfZnEwFyBl8wQ87GeGZRZfq8b6T4a/PMgFb+mD06u+CNBGO5mtKZffaTKN1I2TPx 6ulub3Xuv/UzDOA009OVQvGFdkFTl01Ewe5UOS3v/iDO8LWoxdiKj3JfbJ4DRLfC MqEtr0M1ISnb4c2icI0RFQxubxesvt5Cu3NfEN3LAgMBAAGjggJIMIICRDAOBgNV HQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1Ud EwEB/wQCMAAwHQYDVR0OBBYEFBHABUrerzinO0PvSCxmjmYs49siMB8GA1UdIwQY MBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEF BQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8v cjMuaS5sZW5jci5vcmcvMBcGA1UdEQQQMA6CDG15LmZhYm51bS5mcjBMBgNVHSAE RTBDMAgGBmeBDAECATA3BgsrBgEEAYLfEwEBATAoMCYGCCsGAQUFBwIBFhpodHRw Oi8vY3BzLmxldHNlbmNyeXB0Lm9yZzCCAQUGCisGAQQB1nkCBAIEgfYEgfMA8QB3 AN+lXqtogk8fbK3uuF9OPlrqzaISpGpejjsSwCBEXCpzAAABf/mZMQ4AAAQDAEgw RgIhALXvaEiPrBmnR8khfGE2kSdSc82s0Z9zVnGbCMu8jkB4AiEAjvg+jzTNuTEZ QeeDc+GSsRx++CPAXbcrmd4PoEF+Ho8AdgApeb7wnjk5IfBWc59jpXflvld9nGAK +PlNXSZcJV3HhAAAAX/5mTEGAAAEAwBHMEUCIQDPcrQG4FpIX2NaKKDapqN2Ccql 7BkUAhG787zlwsAOpQIgFkMTtyTA6gV887agP57teAzJY4j8k6OdmPIi1WpevQQw DQYJKoZIhvcNAQELBQADggEBAI0ngtDHbKA+ElKXqEOlavfAjxGy84uEMmq+d1tu sn2vWgAVnzx/k8VscIOFRChlWvSOnoUTiwRT3yWawzHcnyYXMGabXrQ9U1XwEjtI nVFSWKT1t9A50Qrt+jRdEscjCJ1F3el/N+8tdOF/miC4x1QsPDczxstg1NyOawJb 4MDZ72rM9KE1u6C3g0YFufgDQ5hZG/7fsr58nGX9QyUY/KpVAiBAeeIGe+30ZImV EpGakwwxGSZENkfwzLRFromm/qBePC2+oDsRF4HevipYA7izw81rSvqOsiv26a1R b40GjUKXYu3ZzA7tapzV4ecrHDUZRSbbnYn/yLVEocnvWwg= -----END CERTIFICATE-----","",""
"cert_commonName","my.fabnum.fr/83.202.102.130","443","OK","my.fabnum.fr","",""
"cert_commonName_wo_SNI","my.fabnum.fr/83.202.102.130","443","INFO","cloudron-2020-03-13T15:05:27.076Z","",""
"cert_subjectAltName","my.fabnum.fr/83.202.102.130","443","INFO","my.fabnum.fr","",""
"cert_trust","my.fabnum.fr/83.202.102.130","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","my.fabnum.fr/83.202.102.130","443","OK","passed.","",""
"cert_certificatePolicies_EV","my.fabnum.fr/83.202.102.130","443","INFO","no","",""
"cert_expirationStatus","my.fabnum.fr/83.202.102.130","443","OK","85 >= 30 days","",""
"cert_notBefore","my.fabnum.fr/83.202.102.130","443","INFO","2022-04-05 11:00","",""
"cert_notAfter","my.fabnum.fr/83.202.102.130","443","OK","2022-07-04 11:00","",""
"cert_extlifeSpan","my.fabnum.fr/83.202.102.130","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","my.fabnum.fr/83.202.102.130","443","INFO","not present","",""
"cert_crlDistributionPoints","my.fabnum.fr/83.202.102.130","443","INFO","--","",""
"cert_ocspURL","my.fabnum.fr/83.202.102.130","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","my.fabnum.fr/83.202.102.130","443","OK","offered","",""
"cert_ocspRevoked","my.fabnum.fr/83.202.102.130","443","OK","not revoked","",""
"cert_mustStapleExtension","my.fabnum.fr/83.202.102.130","443","INFO","--","",""
"DNS_CAArecord","my.fabnum.fr/83.202.102.130","443","LOW","--","",""
"certificate_transparency","my.fabnum.fr/83.202.102.130","443","OK","yes (certificate extension)","",""
"certs_countServer","my.fabnum.fr/83.202.102.130","443","INFO","3","",""
"certs_list_ordering_problem","my.fabnum.fr/83.202.102.130","443","INFO","no","",""
"cert_caIssuers","my.fabnum.fr/83.202.102.130","443","INFO","R3 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","my.fabnum.fr/83.202.102.130","443","INFO","-----BEGIN CERTIFICATE----- MIIFFjCCAv6gAwIBAgIRAJErCErPDBinU/bWLiWnX1owDQYJKoZIhvcNAQELBQAw TzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2Vh cmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjAwOTA0MDAwMDAw WhcNMjUwOTE1MTYwMDAwWjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3Mg RW5jcnlwdDELMAkGA1UEAxMCUjMwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEK AoIBAQC7AhUozPaglNMPEuyNVZLD+ILxmaZ6QoinXSaqtSu5xUyxr45r+XXIo9cP R5QUVTVXjJ6oojkZ9YI8QqlObvU7wy7bjcCwXPNZOOftz2nwWgsbvsCUJCWH+jdx sxPnHKzhm+/b5DtFUkWWqcFTzjTIUu61ru2P3mBw4qVUq7ZtDpelQDRrK9O8Zutm NHz6a4uPVymZ+DAXXbpyb/uBxa3Shlg9F8fnCbvxK/eG3MHacV3URuPMrSXBiLxg Z3Vms/EY96Jc5lP/Ooi2R6X/ExjqmAl3P51T+c8B5fWmcBcUr2Ok/5mzk53cU6cG /kiFHaFpriV1uxPMUgP17VGhi9sVAgMBAAGjggEIMIIBBDAOBgNVHQ8BAf8EBAMC AYYwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYB Af8CAQAwHQYDVR0OBBYEFBQusxe3WFbLrlAJQOYfr52LFMLGMB8GA1UdIwQYMBaA FHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcw AoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzAnBgNVHR8EIDAeMBygGqAYhhZodHRw Oi8veDEuYy5sZW5jci5vcmcvMCIGA1UdIAQbMBkwCAYGZ4EMAQIBMA0GCysGAQQB gt8TAQEBMA0GCSqGSIb3DQEBCwUAA4ICAQCFyk5HPqP3hUSFvNVneLKYY611TR6W PTNlclQtgaDqw+34IL9fzLdwALduO/ZelN7kIJ+m74uyA+eitRY8kc607TkC53wl ikfmZW4/RvTZ8M6UK+5UzhK8jCdLuMGYL6KvzXGRSgi3yLgjewQtCPkIVz6D2QQz CkcheAmCJ8MqyJu5zlzyZMjAvnnAT45tRAxekrsu94sQ4egdRCnbWSDtY7kh+BIm lJNXoB1lBMEKIq4QDUOXoRgffuDghje1WrG9ML+Hbisq/yFOGwXD9RiX8F6sw6W4 avAuvDszue5L3sz85K+EC4Y/wFVDNvZo4TYXao6Z0f+lQKc0t8DQYzk1OXVu8rp2 yJMC6alLbBfODALZvYH7n7do1AZls4I9d1P4jnkDrQoxB3UqQ9hVl3LEKQ73xF1O yK5GhDDX8oVfGKF5u+decIsH4YaTw7mP3GFxJSqv3+0lUFJoi5Lc5da149p90Ids hCExroL1+7mryIkXPeFM5TgO9r0rvZaBFOvV2z0gp35Z0+L4WPlbuEjN/lxPFin+ HlUjr8gRsI3qfJOQFy/9rKIJR0Y/8Omwt/8oTWgy1mdeHmmjk7j1nYsvC9JSQ6Zv MldlTTKB3zhThV1+XWYp6rjd5JW1zbVWEkLNxE7GJThEUG3szgBVGP7pSWTUTsqX nLRbwHOoq7hHwg== -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","my.fabnum.fr/83.202.102.130","443","INFO","67ADD1166B020AE61B8F5FC96813C04C2AA589960796865572A3C7E737613DFD","",""
"intermediate_cert_notBefore <#1>","my.fabnum.fr/83.202.102.130","443","INFO","2020-09-04 00:00","",""
"intermediate_cert_notAfter <#1>","my.fabnum.fr/83.202.102.130","443","OK","2025-09-15 16:00","",""
"intermediate_cert_expiration <#1>","my.fabnum.fr/83.202.102.130","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","my.fabnum.fr/83.202.102.130","443","INFO","R3 <-- ISRG Root X1","",""
